epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.4972,3.12793,2.78351,2.16675,0.62964,0.09294,0.06815,0.02522,2.4643,2.09572,1.73823,0.000332444,0.000332444,0.067088
2,97.8956,2.23161,1.85156,1.56318,0.32926,0.16379,0.14201,0.06532,2.01391,1.63175,1.4828,0.000659187,0.000659187,0.0340814
3,144.834,1.95945,1.59264,1.40788,0.30588,0.20798,0.14734,0.06866,1.86035,1.59395,1.39587,0.000979329,0.000979329,0.00106822
4,189.352,1.80866,1.46742,1.33161,0.42471,0.26749,0.23219,0.11974,1.65973,1.36404,1.28017,0.0009703,0.0009703,0.0009703
5,234.047,1.70011,1.35528,1.27106,0.5226,0.27967,0.27996,0.14548,1.59101,1.28201,1.2384,0.0009604,0.0009604,0.0009604
6,280.349,1.61817,1.26619,1.23002,0.50119,0.3143,0.3063,0.15629,1.59028,1.22913,1.22461,0.0009505,0.0009505,0.0009505
7,325.113,1.56075,1.21778,1.20319,0.43895,0.34722,0.34447,0.17892,1.51243,1.16486,1.20372,0.0009406,0.0009406,0.0009406
8,370.452,1.5133,1.16851,1.17986,0.44785,0.38614,0.36758,0.19545,1.45582,1.09049,1.18109,0.0009307,0.0009307,0.0009307
9,418.231,1.46265,1.11911,1.1555,0.50895,0.38888,0.39939,0.21553,1.3698,1.03332,1.12485,0.0009208,0.0009208,0.0009208
10,464.115,1.42753,1.08598,1.14435,0.49365,0.40858,0.41441,0.23542,1.35649,1.01649,1.13247,0.0009109,0.0009109,0.0009109
11,508.921,1.40336,1.05803,1.12883,0.53991,0.44387,0.45921,0.25268,1.30184,0.99328,1.11405,0.000901,0.000901,0.000901
12,555.353,1.37468,1.03644,1.11951,0.56992,0.46105,0.47619,0.25973,1.30684,0.98099,1.10563,0.0008911,0.0008911,0.0008911
13,600.755,1.35327,1.00781,1.10852,0.58236,0.44224,0.49604,0.27626,1.28265,0.96321,1.10372,0.0008812,0.0008812,0.0008812
14,645.983,1.32691,0.9779,1.09568,0.54668,0.48338,0.48399,0.27439,1.27688,0.95285,1.08704,0.0008713,0.0008713,0.0008713
